average value,histogram variance,y axis variance,pressure value ratio as 3,points ratio as 3,target
272.3103448,77937.11058,2.077127306,0.955,0.793,0
272.3103448,77937.11058,2.077127306,0.955,0.793,0
272.3103448,77937.11058,2.077127306,0.955,0.793,0
272.3103448,77937.11058,2.077127306,0.955,0.793,0
272.3103448,77937.11058,2.077127306,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
274.4137931,79281.27705,2.069844584,0.955,0.793,0
281.2857143,77374.56122,2.059244083,0.959,0.821,0
281.2857143,77374.56122,2.059244083,0.959,0.821,0
281.2857143,77374.56122,2.059244083,0.959,0.821,0
281.2857143,77374.56122,2.059244083,0.959,0.821,0
281.2857143,77374.56122,2.059244083,0.959,0.821,0
281.2857143,77374.56122,2.059244083,0.959,0.821,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
239.15625,47813.75684,2.00202628,0.922,0.719,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
235.8529412,51283.94896,2.064856068,0.895,0.676,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
250.75,52123.5,2.02859337,0.903,0.688,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
243.8484848,50601.88613,2.075015263,0.896,0.667,0
